query,intent
가루우유 주문가능한 수단 다 가르쳐줘,2
가루우유 메뉴 주문해주세요,2
가루우유 인터넷으로 주문할수 있나요,2
가루우유 주문하게 전화번호 줘,2
가루우유 주문하려고하는데 어디 전화하면되죠,2
가루우유 주문하고싶어요,2
가루우유 진료 주문 방법,2
가루우유 주문하는데 오늘 가도 되나요,2
가루우유 지금 음식 받을수 있나요,2
가루우유 주문할수 있나요,2
가루우유 주문하고 싶어요,2
가루우유 주문 카톡으로 진행할께요,2
가루우유 음식 주문 톡으로도 가능할지?,2
가루우유 음식 카톡으로도 주문 되나요?,2
가루우유 메뉴 카톡으로도 주문 되나요?,2
가루우유 음식 주문 가능한가요,2
가루우유 메뉴 주문 가능한가요,2
가루우유 주문하고싶은데 진행을 어떻게 하면 되나요,2
가루우유 방문이나 전화로 주문가능합니까?,2
가루우유 주문 오케?,2
가루우유 여기서 주문 가능,2
가루우유 주문 변경 가능할까?,2
가루우유 꼭 주문하고싶습니다,2
가루우유 주문 오케이?,2
가루우유 주문 하고 싶습니다,2
가루우유 주문 가능,2
가루우유 주문 해줘,2
가루우유 메뉴 주문 해줘,2
가루우유 음식 주문 해줘,2
가루우유 주문 정보,2
가루우유 주문 어디서 하죠?,2
가루우유 온라인 주문 가능한가요?,2
가루우유 주문ㄱㄱ,2
가루우유 주문 하고 싶어요,2
가루우유 주문하고파요,2
가루우유 오전에 주문 원합니다,2
가루우유 오후로 주문 가능함?,2
가루우유 시키고 싶어요,2
가루우유 시킬거야,2
가루우유 메뉴 선택,2
가루우유 음식 선택,2
가루우유 선택,2
가루우유 점심시간에 주문 가능합니까?,2
가루우유 식사시간에 주문 해도 되요?,2
가루우유 식사시간에 주문 가능?,2
가루우유 점심시간에 주문 가능?,2
가루우유 점심시간에 주문 할께요,2
가루우유 저녁시간에 주문하고싶어요,2
가루우유 평일 주문,2
가루우유 주말주문하고싶어요,2
가루우유 주말주문가능해요?,2
가루우유 지금 주문 가능?,2
가루우유 주문 콜?,2
가루우유 당일 주문 콜?,2
가루우유 담주 주문 콜?,2
가루우유 담달 주문 콜?,2
가루우유 내일 주문 콜?,2
가루우유 내일 주문 가능?,2
가루우유 내일 주문하고싶어요,2
가루우유 담주 주문 할께요,2
가루우유 담주 주문 할게요,2
가루우유 지금 주문 할게요,2
가루우유 주중 주문 원합니다,2
가루우유 주문 바로 잡아주세요,2
가루우유 방문 주문,2
가루우유 바로 주문하고싶어,2
가루우유 바로 주문할게,2
가루우유 주문 가능할지,2
가루우유 바로 주문 가능할지,2
가루우유 주문 진행 할꼐요,2
가루우유 주문 진행 할게요,2
가루우유 지금바로 주문,2
가루우유 주문 바로 할래요,2
가루우유 오늘 주문하고싶어요,2
가루우유 오늘주문가능한가요?,2
가루우유 주문,2
가루우유 주문할래,2
가루우유 주문 할래,2
가지나물 ﻿주문 하고싶어요,2
가지나물 먹고싶어요,2
가지나물 하고싶어요,2
가지나물 원해요,2
가지나물 어떻게 해야 되요?,2
가지나물 어떻게 해야 돼,2
가지나물 하고 싶은데,2
가지나물 알려줘,2
가지나물 가르쳐줘,2
가지나물 하고 싶다,2
가지나물 하고 싶은데,2
가지나물 할게요,2
가지나물 도와줘,2
가지나물 할께요,2
가지나물 도와주세요,2
가지나물 할 수 있나요?,2
가지나물 가능 한가요,2
가지나물 문의드려요,2
가지나물 당일 가능한가요,2
가지나물 해주세요,2
가지나물 하려구요,2
가지나물 되었나요,2
가지나물 되나요,2
가지나물 할수 있을까요?,2
가지나물 싶어요,2
가지나물 언제 가능,2
가지나물 언제가능할까요,2
가지나물 한가요?,2
가지나물 어떻게 하나요,2
가지나물 어떻게 되나요,2
가지나물 어떻게 하나요,2
가지나물 하는법,2
가지나물 할래,2
가지나물 해줘,2
가지나물 확인,2
가지나물 해야 합니다,2
가지나물 가능할까요,2
가지나물 몇시부터 가능한가요,2
가지나물 다음주 주문,2
가지나물 당일 주문,2
가지나물 모레주문,2
가지나물 내일 주문 하고 싶습니다.,2
가지나물 내일 오후4시30분에 진료받으러 가겠습니다. 주문 부탁드립니다,2
가지나물 내일주문 가능한가요?,2
가지나물 내일주문하고싶어요,2
가지나물 사랑니 발치 주문,2
가지나물 여기서 치료주문이 되나요?,2
가지나물 오늘 주문 가능한가요?,2
가지나물 토요일주문,2
가지나물 받고싶은데 주문 어떻게 하나요,2
가지나물 하려고 하는데 주문 진행도와주세요,2
가지나물 신청 어떻게 하나요,2
가지나물 주문상담하고싶어요,2
가지나물 1월17일 주문이요,2
가지나물 통합주문,2
가지나물 어떻게 주문해야되지요?,2
가지나물 주문은 어떻게 해요?,2
가지나물 사전주문가능한가요?,2
가지나물 미리 주문할수있나요?,2
가지나물 미리 주문가능할까요?,2
가지나물 주문해주세요,2
가지나물 주문하고싶어요,2
가지나물 주문하고싶어요,2
가지나물 주문 하는법 알려주세요,2
가지나물 주문 잡고 싶은데요,2
가지나물 주문 가능 여부,2
가지나물 주문 가능한가요,2
가지나물 주문 관련 문의드립니다,2
가지나물 주문 하까 마까?,2
가지나물 주문하까?,2
가지나물 주문 관련 문의하고 싶어요,2
가지나물 음식 주문하고싶어요,2
가지나물 주문문의요,2
가지나물 인터넷으로 주문할수 잇나요,2
가지나물 최대한 빨리 주문할수 있는 방법이 있나요,2
가지나물 주문빨리하고싶어요!,2
가지나물 주문접수받아줘,2
가지나물 주문가능한 수단 다 가르쳐줘,2
가지나물 메뉴 주문해주세요,2
가지나물 인터넷으로 주문할수 있나요,2
가지나물 주문하게 전화번호 줘,2
가지나물 주문하려고하는데 어디 전화하면되죠,2
가지나물 주문하고싶어요,2
가지나물 진료 주문 방법,2
가지나물 주문하는데 오늘 가도 되나요,2
가지나물 지금 음식 받을수 있나요,2
가지나물 주문할수 있나요,2
가지나물 주문하고 싶어요,2
가지나물 주문 카톡으로 진행할께요,2
가지나물 음식 주문 톡으로도 가능할지?,2
가지나물 음식 카톡으로도 주문 되나요?,2
가지나물 메뉴 카톡으로도 주문 되나요?,2
가지나물 음식 주문 가능한가요,2
가지나물 메뉴 주문 가능한가요,2
가지나물 주문하고싶은데 진행을 어떻게 하면 되나요,2
가지나물 방문이나 전화로 주문가능합니까?,2
가지나물 주문 오케?,2
가지나물 여기서 주문 가능,2
가지나물 주문 변경 가능할까?,2
가지나물 꼭 주문하고싶습니다,2
가지나물 주문 오케이?,2
가지나물 주문 하고 싶습니다,2
가지나물 주문 가능,2
가지나물 주문 해줘,2
가지나물 메뉴 주문 해줘,2
가지나물 음식 주문 해줘,2
가지나물 주문 정보,2
가지나물 주문 어디서 하죠?,2
가지나물 온라인 주문 가능한가요?,2
가지나물 주문ㄱㄱ,2
가지나물 주문 하고 싶어요,2
가지나물 주문하고파요,2
가지나물 오전에 주문 원합니다,2
가지나물 오후로 주문 가능함?,2
가지나물 시키고 싶어요,2
가지나물 시킬거야,2
가지나물 메뉴 선택,2
가지나물 음식 선택,2
가지나물 선택,2
가지나물 점심시간에 주문 가능합니까?,2
가지나물 식사시간에 주문 해도 되요?,2
가지나물 식사시간에 주문 가능?,2
가지나물 점심시간에 주문 가능?,2
가지나물 점심시간에 주문 할께요,2
가지나물 저녁시간에 주문하고싶어요,2
가지나물 평일 주문,2
가지나물 주말주문하고싶어요,2
가지나물 주말주문가능해요?,2
가지나물 지금 주문 가능?,2
가지나물 주문 콜?,2
가지나물 당일 주문 콜?,2
가지나물 담주 주문 콜?,2
가지나물 담달 주문 콜?,2
가지나물 내일 주문 콜?,2
가지나물 내일 주문 가능?,2
가지나물 내일 주문하고싶어요,2
가지나물 담주 주문 할께요,2
가지나물 담주 주문 할게요,2
가지나물 지금 주문 할게요,2
가지나물 주중 주문 원합니다,2
가지나물 주문 바로 잡아주세요,2
가지나물 방문 주문,2
가지나물 바로 주문하고싶어,2
가지나물 바로 주문할게,2
가지나물 주문 가능할지,2
가지나물 바로 주문 가능할지,2
가지나물 주문 진행 할꼐요,2
가지나물 주문 진행 할게요,2
가지나물 지금바로 주문,2
가지나물 주문 바로 할래요,2
가지나물 오늘 주문하고싶어요,2
가지나물 오늘주문가능한가요?,2
가지나물 주문,2
가지나물 주문할래,2
가지나물 주문 할래,2
간고등어 ﻿주문 하고싶어요,2
간고등어 먹고싶어요,2
간고등어 하고싶어요,2
간고등어 원해요,2
간고등어 어떻게 해야 되요?,2
간고등어 어떻게 해야 돼,2
간고등어 하고 싶은데,2
간고등어 알려줘,2
간고등어 가르쳐줘,2
간고등어 하고 싶다,2
간고등어 하고 싶은데,2
간고등어 할게요,2
간고등어 도와줘,2
간고등어 할께요,2
간고등어 도와주세요,2
간고등어 할 수 있나요?,2
간고등어 가능 한가요,2
간고등어 문의드려요,2
간고등어 당일 가능한가요,2
간고등어 해주세요,2
간고등어 하려구요,2
간고등어 되었나요,2
간고등어 되나요,2
간고등어 할수 있을까요?,2
간고등어 싶어요,2
간고등어 언제 가능,2
간고등어 언제가능할까요,2
간고등어 한가요?,2
간고등어 어떻게 하나요,2
간고등어 어떻게 되나요,2
간고등어 어떻게 하나요,2
간고등어 하는법,2
간고등어 할래,2
간고등어 해줘,2
간고등어 확인,2
간고등어 해야 합니다,2
간고등어 가능할까요,2
간고등어 몇시부터 가능한가요,2
간고등어 다음주 주문,2
간고등어 당일 주문,2
간고등어 모레주문,2
간고등어 내일 주문 하고 싶습니다.,2
간고등어 내일 오후4시30분에 진료받으러 가겠습니다. 주문 부탁드립니다,2
간고등어 내일주문 가능한가요?,2
간고등어 내일주문하고싶어요,2
간고등어 사랑니 발치 주문,2
간고등어 여기서 치료주문이 되나요?,2
간고등어 오늘 주문 가능한가요?,2
간고등어 토요일주문,2
간고등어 받고싶은데 주문 어떻게 하나요,2
간고등어 하려고 하는데 주문 진행도와주세요,2
간고등어 신청 어떻게 하나요,2
간고등어 주문상담하고싶어요,2
간고등어 1월17일 주문이요,2
간고등어 통합주문,2
간고등어 어떻게 주문해야되지요?,2
간고등어 주문은 어떻게 해요?,2
간고등어 사전주문가능한가요?,2
간고등어 미리 주문할수있나요?,2
간고등어 미리 주문가능할까요?,2
간고등어 주문해주세요,2
간고등어 주문하고싶어요,2
간고등어 주문하고싶어요,2
간고등어 주문 하는법 알려주세요,2
간고등어 주문 잡고 싶은데요,2
간고등어 주문 가능 여부,2
간고등어 주문 가능한가요,2
간고등어 주문 관련 문의드립니다,2
간고등어 주문 하까 마까?,2
간고등어 주문하까?,2
간고등어 주문 관련 문의하고 싶어요,2
간고등어 음식 주문하고싶어요,2
간고등어 주문문의요,2
간고등어 인터넷으로 주문할수 잇나요,2
간고등어 최대한 빨리 주문할수 있는 방법이 있나요,2
간고등어 주문빨리하고싶어요!,2
간고등어 주문접수받아줘,2
간고등어 주문가능한 수단 다 가르쳐줘,2
간고등어 메뉴 주문해주세요,2
간고등어 인터넷으로 주문할수 있나요,2
간고등어 주문하게 전화번호 줘,2
간고등어 주문하려고하는데 어디 전화하면되죠,2
간고등어 주문하고싶어요,2
간고등어 진료 주문 방법,2
간고등어 주문하는데 오늘 가도 되나요,2
간고등어 지금 음식 받을수 있나요,2
간고등어 주문할수 있나요,2
간고등어 주문하고 싶어요,2
간고등어 주문 카톡으로 진행할께요,2
간고등어 음식 주문 톡으로도 가능할지?,2
간고등어 음식 카톡으로도 주문 되나요?,2
간고등어 메뉴 카톡으로도 주문 되나요?,2
간고등어 음식 주문 가능한가요,2
간고등어 메뉴 주문 가능한가요,2
간고등어 주문하고싶은데 진행을 어떻게 하면 되나요,2
간고등어 방문이나 전화로 주문가능합니까?,2
간고등어 주문 오케?,2
간고등어 여기서 주문 가능,2
간고등어 주문 변경 가능할까?,2
간고등어 꼭 주문하고싶습니다,2
간고등어 주문 오케이?,2
간고등어 주문 하고 싶습니다,2
간고등어 주문 가능,2
간고등어 주문 해줘,2
간고등어 메뉴 주문 해줘,2
간고등어 음식 주문 해줘,2
간고등어 주문 정보,2
간고등어 주문 어디서 하죠?,2
간고등어 온라인 주문 가능한가요?,2
간고등어 주문ㄱㄱ,2
간고등어 주문 하고 싶어요,2
간고등어 주문하고파요,2
간고등어 오전에 주문 원합니다,2
간고등어 오후로 주문 가능함?,2
간고등어 시키고 싶어요,2
간고등어 시킬거야,2
간고등어 메뉴 선택,2
간고등어 음식 선택,2
간고등어 선택,2
간고등어 점심시간에 주문 가능합니까?,2
간고등어 식사시간에 주문 해도 되요?,2
간고등어 식사시간에 주문 가능?,2
간고등어 점심시간에 주문 가능?,2
간고등어 점심시간에 주문 할께요,2
간고등어 저녁시간에 주문하고싶어요,2
간고등어 평일 주문,2
간고등어 주말주문하고싶어요,2
간고등어 주말주문가능해요?,2
간고등어 지금 주문 가능?,2
간고등어 주문 콜?,2
간고등어 당일 주문 콜?,2
간고등어 담주 주문 콜?,2
간고등어 담달 주문 콜?,2
간고등어 내일 주문 콜?,2
간고등어 내일 주문 가능?,2
간고등어 내일 주문하고싶어요,2
간고등어 담주 주문 할께요,2
간고등어 담주 주문 할게요,2
간고등어 지금 주문 할게요,2
간고등어 주중 주문 원합니다,2
간고등어 주문 바로 잡아주세요,2
간고등어 방문 주문,2
간고등어 바로 주문하고싶어,2
간고등어 바로 주문할게,2
간고등어 주문 가능할지,2
간고등어 바로 주문 가능할지,2
간고등어 주문 진행 할꼐요,2
간고등어 주문 진행 할게요,2
간고등어 지금바로 주문,2
간고등어 주문 바로 할래요,2
간고등어 오늘 주문하고싶어요,2
